Lexema;Significado                                                                                                                                                                                    
hatratchatur; respirar                                                                                                                                                                                
hatta; ayer                                                                                                                                                                                           
hattahatcku; anteayer                                                                                                                                                                                 
hattattulti; ayer tarde                                                                                                                                                                               
hautur; venir                                                                                                                                                                                         
hay-iackay; hiel                                                                                                                                                                                      
hay-iantur; encender                                                                                                                                                                                  
hebar; minga                                                                                                                                                                                          
hebi-i; en frente                                                                                                                                                                                     
hebir; piojo                                                                                                                                                                                          
hebitur; preguntar                                                                                                                                                                                    
hebíutur; suspirar                                                                                                                                                                                    
heckatatur; entreverar                                                                                                                                                                                
heelata; mentira                                                                                                                                                                                      
heelatur; mentir                                                                                                                                                                                      
heenatur; mezclar                                                                                                                                                                                     
hey-natur; moler                                                                                                                                                                                      
hel-la; mentira                                                                                                                                                                                       
herabuntur; enseñar                                                                                                                                                                                   
herck-ckar; cantor                                                                                                                                                                                    
herck-natur; embutir                                                                                                                                                                                  
herck-tur; cantar (rad. herckckar)                                                                                                                                                                    
hestur; secar                                                                                                                                                                                         
heus-tur; trabajar                                                                                                                                                                                    
heus-tcha; fatiga                                                                                                                                                                                     
heus-tchatur; cansarse, trabajar                                                                                                                                                                      
heu-tchur; (cfr ttastur)                                                                                                                                                                              
heu-tur; levantarse, volar                                                                                                                                                                            
hilay-natur; unir                                                                                                                                                                                     
hilis; tiestos, vasijas rotas de tierra                                                                                                                                                               
hiltur; meter                                                                                                                                                                                         
himri; hígado                                                                                                                                                                                         
hincktur; hollín                                                                                                                                                                                      
hitan; nido                                                                                                                                                                                           
hockoltur; toser, tos                                                                                                                                                                                 
hocko-tur; enjuagar                                                                                                                                                                                   
hockuntur; trillar (cfr. baltatur)                                                                                                                                                                    
holaitur; apresa                                                                                                                                                                                      
hoy-ri; tierra                                                                                                                                                                                        
hoy-tu; suelo                                                                                                                                                                                         
hoy-tur; enterrar, entierro                                                                                                                                                                           
holmtur; comer (rad. holor q. cfr)                                                                                                                                                                    
holor; quinoa                                                                                                                                                                                         
hónanar; tábano                                                                                                                                                                                       
honatur; quemar                                                                                                                                                                                       
honitur; empujar                                                                                                                                                                                      
ho-honar; mucho                                                                                                                                                                                       
ho-hónima; incendio                                                                                                                                                                                   
hoopir; bofe, pulmón                                                                                                                                                                                  
horckan; piojo recién nacido                                                                                                                                                                          
horckte; arena                                                                                                                                                                                        
horsatur; violar                                                                                                                                                                                      
hotta; buche                                                                                                                                                                                          
huacka; ¡cuanto!                                                                                                                                                                                      
hualcka; collar                                                                                                                                                                                       
hualtir; apellido 1618                                                                                                                                                                                
huata; vientre                                                                                                                                                                                        
huay-tche; pajaro llamado también pico largo                                                                                                                                                          
huckru-tur; mandar                                                                                                                                                                                    
huis; vicuña en tropas                                                                                                                                                                                
huib-atur; criar ganado                                                                                                                                                                               
huinatur; olfato                                                                                                                                                                                      
huipsintos-tosma; ¡atrás!                                                                                                                                                                             
hulir; blando                                                                                                                                                                                         
hulur; malva de la cordillera                                                                                                                                                                         
húmar; vacío, nudo                                                                                                                                                                                    
humur; fuego                                                                                                                                                                                          
huntucks; barbon                                                                                                                                                                                      
huntur; barba                                                                                                                                                                                         
hupay-natur; fruncir                                                                                                                                                                                  
hurackatur; jurar                                                                                                                                                                                     
hurma; tonto, médula                                                                                                                                                                                  
hutantur; sembrar                                                                                                                                                                                     
hutumar; (cfr ttultur)                                                                                                                                                                                
hui-iatur; guarda, cuidar ovejas (rad.huís)                                                                                                                                                           
huy-iuntur; juntar                                                                                                                                                                                    
huyuta; ojota                                                                                                                                                                                         
ickota; ellos                                                                                                                                                                                         
icks; así                                                                                                                                                                                             
icksnu; entonces                                                                                                                                                                                      
icks-puria-ayán; siempre                                                                                                                                                                              
ilckau-ya; ella                                                                                                                                                                                       
innal; juntar                                                                                                                                                                                         
innar; por sí                                                                                                                                                                                         
inti; tanto                                                                                                                                                                                           
intían; por ahí                                                                                                                                                                                       
intick-lay; tamaño                                                                                                                                                                                    
intipur; bastante                                                                                                                                                                                     
ipnatur; prenderse                                                                                                                                                                                    
ips; al: (dativo)                                                                                                                                                                                     
ips-aps; ambos                                                                                                                                                                                        
iquique; iquique                                                                                                                                                                                      
ircu; que                                                                                                                                                                                             
irincu; con que                                                                                                                                                                                       
irintacu; que?                                                                                                                                                                                        
irorais; (cfr pintchicu)                                                                                                                                                                              
irsacka; nada (también significa algo)                                                                                                                                                                
isimaya; (cfr ips)                                                                                                                                                                                    
iss; tuyos                                                                                                                                                                                            
issalcu; ¿para qué? (interrogat)                                                                                                                                                                      
issanta; por el                                                                                                                                                                                       
issi-ya; suyo                                                                                                                                                                                         
itcha; otro                                                                                                                                                                                           
itchackota; los otros                                                                                                                                                                                 
itchaku; cuyo                                                                                                                                                                                         
itchansicks; feo                                                                                                                                                                                      
itchicaí; pequeño, chico                                                                                                                                                                              
itchockol; más                                                                                                                                                                                        
itchupur; poco                                                                                                                                                                                        
itícku; ¿quién?                                                                                                                                                                                       
itísacka; ninguno                                                                                                                                                                                     
i-ya; ese (cfr aps)                                                                                                                                                                                   
i-yare; calzado (adjetivo)                                                                                                                                                                            
