GLOTTOCODE;Name;ISOCODE
anta1260;Antambohoaka;
anta1261;Antaisaka;
anta1262;Antanalana;
ante1238;Antekerrepenh;
anti1242;Antioquian;
anti1245;Antigua and Barbuda Creole English;aig
anti1246;Antioch;
anti1247;Antillean Arawakan;
anto1235;Antoniano Salinan;
antw1238;Antwerps;
antw1239;Antwerp Brabants;
anua1242;Anuak;anu
anuf1239;Anufo;cko
anuk1239;Anuki;aui
anus1237;Anus;auq
anus1238;Anus-Podena;
anut1237;Anuta;aud
anuu1241;Anu-Hkongso;anl
anuu1242;Anu (Ghana);
anuu1243;Anu;
anya1244;Anyang;
anya1245;Anyama;
anya1246;Anyang (Cameroon);
anyi1244;Anyin Morofo;mtb
anyi1245;Anyin;any
anyi1246;Anyinic;
anyi1247;Anyi;
anyu1238;Anyugba;
anyx1238;Anykh;
anza1234;Anzali;
aohe1237;Aoheng-Seputan;pni
aohe1238;Aoheng;
aoic1235;Central Naga;
aola1237;Aola;
aolu1238;Aoluguya;
aona1235;Ao Naga;njo
aore1237;Aore;aor
aota1239;Ao Tá;
aoua1234;A'ou;aou
aouu1238;Nuclear A'ou;
aowi1238;Aowin;
apaa1238;Apa;
apac1239;Apachean;
apah1238;Apahapsili;
apal1237;Apalachee;xap
apal1255;Apalik;apo
apal1256;Apali;ena
apal1257;Apalaí;apy
apal1258;Apalic;
apam1237;AP-AM-AH;
apan1242;Apani;
apan1243;Apanjekra;
apap1240;Apapocuva;
apap1241;Apapantilla;
apas1235;Apasco-Apoala Mixtec;mip
apat1240;Apatani;apt
apia1246;Apiapum;
apia1247;Apiaka-Tocantins;
apia1248;Apiaká;api
apin1244;Apinayé;apn
apma1240;Apma;app
apma1241;Ap Ma;kbx
apmi1239;Apmisibil;
apoi1238;Apoi;
apok1238;Apuka;
apol1241;Apolo;
apol1242;Apolista;
apon1238;Aponte Inga;
apon1239;Aponte-Santiago Inga;
apos1239;Apos;
apot1235;Apoto;
appa1236;Appalachian English;
appe1239;Äppelbo;
apro1235;Aproumu Aizi;ahp
apso1237;Apsokok;
apuc1241;Apucikwar;apq
apuk1238;Apuk;
apul1236;Apulia-Calabrian Greek;
apul1237;Apulian Greek;
apur1252;Southern Pura;
apur1253;Apurí;
apur1254;Apurinã;apu
aput1237;Aputai;apx
aput1239;Aput-Busang-Merah-Kohi;
aqus1234;Aqusha-Uraxi;
