Glottocode;ISO6393;LanguageName
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
lahu1253;lhu;Lahu
