Glottocode;ISO639P3code
beot1247;bue
bepo1240;bie
berb1259;brc
zagh1240;zag
beri1254;bkl
beri1254;bkl
beri1253;bit
swis1247;gsw
bero1242;bom
bero1242;bom
bert1248;wti
bert1249;byt
cent2053;pse
besm1235;bes
beta1253;bfe
beta1252;bew
dalo1238;bev
dalo1238;bev
guib1246;bet
bett1235;xub
bett1235;xub
bezh1248;kap
bezh1248;kap
bhad1241;bhd
bhat1265;bgw
bhat1263;bht
bhoj1244;bho
bhoj1244;bho
biaf1240;bif
biaf1240;bif
biak1248;bhw
biak1248;bhw
bial1238;beh
beam1240;beo
bian1252;big
biat1246;bth
anci1244;hbo
baub1235;sne
bidi1241;bid
bidy1243;bym
biem1237;bmc
bier1244;bnk
bier1244;bnk
bier1244;bnk
bier1244;bnk
bier1246;brj
biga1238;bhc
;
bign1238;nmb
bign1238;nmb
bidy1244;bjg
bidy1244;bjg
bidy1244;bjg
bidy1244;bjg
bidy1244;bjg
bika1251;bic
bika1251;bic
bika1251;bic
yetf1238;yet
yetf1238;yet
yetf1238;yet
yetf1238;yet
koro1310;bpr
sara1326;bps
bila1257;bql
bila1257;bql
bilb1241;brz
bile1244;bil
naka1262;nak
awad1244;bcu
bili1260;byn
bili1260;byn
bilm1238;bms
bilo1248;bll
bilu1245;blb
bilu1244;bxf
bima1247;bhp
bimi1240;bhl
bimo1239;bim
bina1271;bmn
bina1275;bxz
bina1277;bhg
bine1240;bon
bint1246;bny
binu1244;bkd
binu1245;bjr
phal1254;phl
bipi1237;biq
bera1259;brf
bira1253;bxe
bila1255;bip
bera1259;brf
bera1259;brf
birg1239;btf
birh1242;biy
biri1256;bzr
sout2790;biv
biri1259;bqq
birk1242;brk
;
biri1256;bzr
birr1240;bvq
biss1248;bib
brun1245;bsb
saba1267;bsy
bise1238;ije
bisi1244;bnw
bisl1239;bis
biso1243;bir
biso1243;bir
bisu1244;bzi
bitt1240;bgk
biwa1243;bwm
biwa1243;bwm
biwa1243;bwm
biwa1243;bwm
sout2785;gso
biyo1244;bpm
biyo1243;byo
blab1237;blp
siks1238;bla
taid1247;blt
taid1247;blt
blag1240;beu
blag1240;beu
blag1240;beu
blag1240;beu
blag1240;beu
blag1240;beu
blag1240;beu
jalk1242;bxl
bopa1235;bpw
boan1243;bzl
kuni1265;kvg
bwaa1238;bww
bwaa1238;bww
bwaa1238;bww
bang1354;bni
west2600;mqs
bobo1254;bty
duwa1244;dbp
bodo1272;boy
sant1410;sat
bodo1267;gbj
bodo1269;brx
woje1238;jod
indo1317;bdl
bofi1238;bff
boga1251;bvw
boga1247;boq
bogh1241;bux
pand1264;bkj
boik1241;bzf
bori1243;adi
boky1238;bky
boko1266;bqc
boko1267;bus
boko1267;bus
boko1261;bdt
boko1266;bqc
boko1263;bkp
boky1238;bky
bola1250;bnp
nucl1695;bol
bomi1238;zmx
nucl1695;bol
nucl1695;bol
bolg1251;bvo
boli1255;bli
boli1256;smk
boli1255;bli
boli1255;bli
bolo1261;blv
bolo1266;bof
bolo1263;bzm
bolo1268;blj
anja1238;boj
boma1246;boh
lima1246;bme
boma1246;boh
boma1246;boh
boma1246;boh
boma1246;boh
boma1246;boh
bomb1262;bws
bomb1262;bws
lame1257;bma
bomu1247;bmq
bomu1247;bmq
bomw1238;bmw
bomw1238;bmw
bomk1234;bmf
bomk1234;bmf
bona1250;peh
bond1247;bou
bond1247;bou
bond1247;bou
bomi1238;zmx
bond1248;dbu
bond1248;dbu
tuot1238;ttf
bone1254;bna
masi1266;bnf
masi1266;bnf
bong1289;bdg
bong1287;bpg
bong1284;bui
bong1284;bui
bong1285;bot
bong1285;bot
bong1291;bpu
cent2292;lbk
bong1282;glc
boon1242;bnl
bora1263;boa
bora1271;gax
bora1271;gax
borg1235;fue
boro1279;ksr
boro1282;bor
boru1252;brn
kalu1248;bco
bosn1248;bqs
bosn1248;bqs
bosn1245;bos
bomi1238;zmx
bomi1238;zmx
botl1242;bph
dibo1245;bvx
ulum1237;ulm
domm1246;doa
hain1253;bzx
hain1253;bzx
jena1242;bze
jena1242;bze
jena1242;bze
jena1242;bze
jena1242;bze
jena1242;bze
jena1242;bze
tiem1235;boo
tiey1235;boz
tiey1235;boz
dutc1256;nld
brag1240;aof
brah1256;brh
brah1256;brh
krun1240;krr
brer1240;brq
bret1244;bre
bret1244;bre
brib1243;bzd
brok1247;bkk
brok1247;bkk
broo1239;plw
east2332;bru
brun1242;kxd
west2397;brv
mund1328;boe
buaa1245;bub
ngal1292;ngk
pate1247;ptp
mapo1242;bzh
vehe1237;val
bube1242;bvb
midd1327;mpl
ruka1240;dru
budo1241;bdx
budu1250;buu
budu1248;bdk
bond1246;kzc
budu1265;bdm
budu1265;bdm
budu1250;buu
lele1264;lef
buga1247;bbh
buga1247;bbh
buga1250;buk
bugh1239;bgt
bugi1244;bug
bugl1243;sab
bugu1246;bgg
balk1252;rmn
buhi1243;ubl
buhi1243;ubl
buhu1237;bxh
tere1278;buo
budz1238;bja
kele1258;sbc
budz1238;bja
budz1238;bja
budz1238;bja
budz1238;bja
kwas1243;nmg
bujh1238;byh
band1342;bqk
buka1257;sdo
buka1261;bvk
buga1250;buk
binu1244;bkd
buki1248;bkn
buki1249;ape
buku1249;bxk
bulg1262;bul
bulg1262;bul
buli1255;bzq
buli1254;bwu
buli1254;bwu
bulu1251;bum
bumm1238;bmv
buma1247;bvp
izon1238;ijc
bumt1240;kjz
bumm1238;bmv
bulu1251;bum
bunn1240;buv
buna1277;bvn
buna1275;bck
brem1238;buq
buna1278;bfn
buna1276;bdd
gahr1239;bfu
bund1253;bns
bung1270;but
bung1264;xbg
bung1265;wun
bung1265;wun
bung1265;wun
shin1264;scl
buno1241;dgb
cent1992;cmo
buna1273;bwx
bunu1267;bnn
buol1237;blf
bura1292;bwr
bura1271;bys
bura1271;bys
bura1267;bvr
bura1276;bti
bure1242;bvh
carp1235;rmc
mong1330;bxm
russ1264;bxr
russ1264;bxr
burj1242;bji
burj1242;bji
burm1263;vrt
burm1263;vrt
burm1263;vrt
nucl1310;mya
burm1264;bzu
buru1299;bqw
buru1309;bry
buru1306;bmu
buru1307;aip
buru1306;bmu
buru1301;bdi
buru1320;bds
buru1296;bsk
buru1296;bsk
buru1304;bqr
buru1303;mhs
busa1254;bsm
odia1239;bhf
busa1253;bqp
bush1250;buc
bush1247;buf
bush1247;buf
bush1247;buf
buso1238;bup
buss1239;dox
buss1239;dox
paiw1248;pwn
maya1282;slz
butm1237;bnr
butu1244;btw
poko1261;pkb
geji1246;gji
buwa1243;bhs
lang1316;yln
kasa1248;ccj
kasa1248;ccj
kobi1241;kcj
kobi1241;kcj
kobi1241;kcj
kobi1241;kcj
mund1328;boe
laim1240;lmx
buuu1244;jid
bwai1242;bwd
buam1238;box
buam1238;box
bwan1241;tte
bwel1238;bwl
bwek1238;bwe
bwil1245;bwc
bwis1242;bwz
byan1241;bee
ngan1304;ngd
koyo1242;koh
bodo1272;boy
ling1263;lin
bolo1262;bkt
ngel1238;agh
kela1254;kel
bush1247;buf
bush1247;buf
deng1250;dez
bush1247;buf
lele1265;lel
lele1265;lel
lele1265;lel
caac1237;msq
cabe1245;cjp
cabe1245;cjp
cabi1241;cbb
juqu1238;mxq
